item_id,source,environment,disposition,reason
@src/appendix/ft_mps/ch08_wielandt.tex:110,src/appendix/ft_mps/ch08_wielandt.tex,remark,tn,tensor-network remark
@src/appendix/ft_mps/ch09_canonical_blocking_and_sectors.tex:645,src/appendix/ft_mps/ch09_canonical_blocking_and_sectors.tex,remark,tn,tensor-network remark
@src/chapter/ch02_mps.tex:217,src/chapter/ch02_mps.tex,remark,tn,tensor-network remark
@src/chapter/ch02_mps.tex:322,src/chapter/ch02_mps.tex,remark,tn,tensor-network remark
@src/chapter/ch02_mps.tex:661,src/chapter/ch02_mps.tex,remark,tn,tensor-network remark
@src/chapter/ch04_channels_positive_map_and_channel_foundations.tex:18,src/chapter/ch04_channels_positive_map_and_channel_foundations.tex,remark,qic,quantum-information remark
@src/chapter/ch06_qpf.tex:715,src/chapter/ch06_qpf.tex,remark,tn,tensor-network remark
@src/chapter/ch08_wielandt_cumulative_bound.tex:1056,src/chapter/ch08_wielandt_cumulative_bound.tex,remark,tn,tensor-network remark
@src/chapter/ch08_wielandt_cumulative_bound.tex:1327,src/chapter/ch08_wielandt_cumulative_bound.tex,remark,tn,tensor-network remark
@src/chapter/ch08_wielandt_fixed_length_and_normality.tex:235,src/chapter/ch08_wielandt_fixed_length_and_normality.tex,remark,tn,tensor-network remark
@src/chapter/ch08_wielandt_fixed_length_and_normality.tex:426,src/chapter/ch08_wielandt_fixed_length_and_normality.tex,remark,tn,tensor-network remark
@src/chapter/ch08_wielandt_word_span_and_block_injectivity.tex:111,src/chapter/ch08_wielandt_word_span_and_block_injectivity.tex,remark,tn,tensor-network remark
@src/chapter/ch09_canonical_forms_and_projectors_auxiliary.tex:314,src/chapter/ch09_canonical_forms_and_projectors_auxiliary.tex,remark,tn,tensor-network remark
@src/chapter/ch09_canonical_forms_and_projectors_auxiliary.tex:946,src/chapter/ch09_canonical_forms_and_projectors_auxiliary.tex,remark,tn,tensor-network remark
@src/chapter/ch09_canonical_forms_and_projectors_auxiliary.tex:958,src/chapter/ch09_canonical_forms_and_projectors_auxiliary.tex,remark,tn,tensor-network remark
@src/chapter/ch09_canonical_normal_forms_and_support_auxiliary.tex:415,src/chapter/ch09_canonical_normal_forms_and_support_auxiliary.tex,remark,tn,tensor-network remark
@src/chapter/ch15_examples_ghz.tex:154,src/chapter/ch15_examples_ghz.tex,remark,tn,tensor-network remark
@src/chapter/ch16_channel_representations_normal_forms_and_determinant.tex:140,src/chapter/ch16_channel_representations_normal_forms_and_determinant.tex,remark,qic,quantum-information remark
@src/chapter/ch17_semigroup_dissipation_and_primitivity.tex:405,src/chapter/ch17_semigroup_dissipation_and_primitivity.tex,remark,qic,quantum-information remark
@src/chapter/ch17_semigroup_dissipation_and_primitivity.tex:413,src/chapter/ch17_semigroup_dissipation_and_primitivity.tex,remark,qic,quantum-information remark
@src/chapter/ch18_operator_convexity_schwarz_and_jensen.tex:59,src/chapter/ch18_operator_convexity_schwarz_and_jensen.tex,remark,qic,quantum-information remark
@src/chapter/ch19_entropy_von_neumann_and_relative_i.tex:157,src/chapter/ch19_entropy_von_neumann_and_relative_i.tex,remark,qic,quantum-information remark
@src/chapter/ch21_mpdo_rfp_area_law_diagonal_and_pure_state_bounds.tex:1720,src/chapter/ch21_mpdo_rfp_area_law_diagonal_and_pure_state_bounds.tex,remark,tn,tensor-network remark
@src/chapter/ch21_mpdo_rfp_bnt_coefficients.tex:1302,src/chapter/ch21_mpdo_rfp_bnt_coefficients.tex,remark,tn,tensor-network remark
@src/chapter/ch21_mpdo_rfp_commuting_form_bond_products.tex:388,src/chapter/ch21_mpdo_rfp_commuting_form_bond_products.tex,remark,tn,tensor-network remark
@src/chapter/ch21_mpdo_rfp_commuting_form_bond_products.tex:596,src/chapter/ch21_mpdo_rfp_commuting_form_bond_products.tex,remark,tn,tensor-network remark
@src/chapter/ch21_mpdo_rfp_commuting_form_cyclic_active_markov.tex:433,src/chapter/ch21_mpdo_rfp_commuting_form_cyclic_active_markov.tex,remark,tn,tensor-network remark
@src/chapter/ch21_mpdo_rfp_simple_local_normalized_preparations_completed_channels.tex:560,src/chapter/ch21_mpdo_rfp_simple_local_normalized_preparations_completed_channels.tex,remark,tn,tensor-network remark
@src/chapter/ch23_algebraic_ft_direct_sums_and_symmetry.tex:42,src/chapter/ch23_algebraic_ft_direct_sums_and_symmetry.tex,remark,tn,tensor-network remark
@src/chapter/ch23_algebraic_ft_direct_sums_and_symmetry.tex:68,src/chapter/ch23_algebraic_ft_direct_sums_and_symmetry.tex,remark,tn,tensor-network remark
@src/chapter/ch23_algebraic_ft_direct_sums_and_symmetry.tex:92,src/chapter/ch23_algebraic_ft_direct_sums_and_symmetry.tex,remark,tn,tensor-network remark
@src/chapter/ch23_algebraic_ft_direct_sums_and_symmetry.tex:113,src/chapter/ch23_algebraic_ft_direct_sums_and_symmetry.tex,remark,tn,tensor-network remark
@src/chapter/ch23_algebraic_ft_injective_chains_and_product_algebra.tex:303,src/chapter/ch23_algebraic_ft_injective_chains_and_product_algebra.tex,remark,tn,tensor-network remark
@src/chapter/ch24_peps_ft_balanced_edge_scalars.tex:290,src/chapter/ch24_peps_ft_balanced_edge_scalars.tex,remark,tn,tensor-network remark
